Date,close,EMA20,EMA50,EMA100,RSI,MACDH,CCI,WMR,OBV,TRIX,ATR,ForceIndex,AccDis,Aaron,timeseries
11/20/2013,71.38,-2.66,-0.89,1.32,-19.62,-0.28,-220.95,84.5,20551200896,0.18,1.18,-8073436.86,17601915642,-44,74.02
11/21/2013,72.25,-1.83,-0.1,2.1,-24.26,-0.24,-171.93,48.17,20536901246,0.17,1.17,-11772776.4,17579347821,-48,74.15
11/22/2013,72.06,-2.04,-0.37,1.83,-23.11,-0.23,-134.57,56.1,20527309923,0.15,1.13,-6715605.72,17565856138,-52,74.17
11/25/2013,72.63,-1.54,0.11,2.31,-26.06,-0.18,-43.71,32.78,20541428327,0.14,1.11,10868006.6,17564872794,-60,74.38
11/26/2013,74.01,-0.36,1.34,3.57,-32.32,-0.06,109.01,11.53,20565166046,0.14,1.15,37191784.62,17579240247,-60,74.66
11/27/2013,75.8,1.09,2.92,5.21,-38.58,0.13,208.89,0.12,20616776823,0.14,1.2,76108600.56,17619230854,-24,75.39
11/29/2013,77.24,2.07,4.1,6.48,-42.54,0.32,231.05,5.06,20671191798,0.15,1.24,87589987.6,17655435962,-20,76.34
12/2/2013,76.55,1.04,3.19,5.63,-38.12,0.38,148.06,25.86,20713169545,0.17,1.29,73395889.28,17672813229,-16,77.02
12/3/2013,78.71,2.68,5.06,7.59,-43.54,0.52,122.9,0.11,20766222589,0.19,1.35,115546649.8,17710984997,-12,78.18
12/4/2013,78.52,2.05,4.59,7.21,-42.38,0.57,77.92,7.55,20780327698,0.21,1.34,84287835.12,17738125428,-8,79.19
12/5/2013,78.93,2.01,4.71,7.42,-43.37,0.58,60.61,11.78,20798638265,0.24,1.35,60953085,17732477935,-4,80.11
12/6/2013,77.81,0.59,3.37,6.13,-36.39,0.47,8.23,24.6,20783834766,0.26,1.34,18598803.98,17702706609,-4,80.57
12/9/2013,78.72,1.15,4.02,6.86,-38.97,0.43,5.29,14.17,20808671155,0.28,1.34,49607008.3,17699512539,-4,81.24
12/10/2013,78.6,0.72,3.66,6.56,-38.2,0.35,-9.52,15.6,20797056739,0.3,1.31,-747622.78,17678293977,-4,81.75
12/11/2013,78,-0.1,2.85,5.8,-34.48,0.23,-21.52,22.42,20786346592,0.31,1.33,-7952697.6,17644441661,-4,82.05
12/12/2013,77.88,-0.41,2.54,5.53,-33.75,0.13,-35.69,25.79,20740153730,0.32,1.29,-18759004.86,17614734146,-4,82.25
12/13/2013,77.01,-1.37,1.52,4.52,-28.42,-0.02,-57.73,38.25,20694537355,0.32,1.29,-13904307.42,17586190966,-4,82.3
12/16/2013,77.45,-1.05,1.79,4.82,-30.22,-0.1,-57.12,34.49,20647026508,0.32,1.29,-22380096.04,17548349556,-8,82.34
12/17/2013,77.09,-1.49,1.29,4.33,-28.01,-0.18,-70.35,48.27,20601933296,0.31,1.26,-24752609.88,17500918109,-44,82.12
12/18/2013,76.49,-2.1,0.58,3.61,-24.39,-0.28,-112.57,67.06,20546535955,0.3,1.33,-31044346.28,17491387043,-44,81.71
12/19/2013,75.59,-2.93,-0.4,2.61,-19.44,-0.39,-126.74,84.43,20488206074,0.29,1.31,-43975058.74,17480139330,-44,80.98
12/20/2013,76.24,-2.27,0.16,3.15,-22.79,-0.42,-125.82,71.88,20468326298,0.27,1.29,-15232258.14,17487955383,-44,80.42
12/23/2013,79.25,0.46,2.96,6,-34.49,-0.23,-10.25,13.9,20459378922,0.26,1.42,54017465.86,17521771149,-44,80.37
12/24/2013,78.9,-0.11,2.42,5.49,-32.57,-0.14,-7.43,20.56,20453548131,0.25,1.38,55241436.86,17557291181,-44,80.2
12/26/2013,78.36,-0.8,1.72,4.81,-29.6,-0.12,-37.02,24.12,20465804674,0.24,1.34,66806616.62,17559103523,-44,79.99
12/27/2013,77.82,-1.43,1.04,4.14,-26.67,-0.14,-86.31,35.64,20482813352,0.23,1.29,75125830.72,17564646271,-44,79.81
12/30/2013,77.02,-2.23,0.15,3.23,-22.59,-0.21,-152.75,52.48,20465330217,0.22,1.28,50818127.78,17559517416,-44,79.6
12/31/2013,77.95,-1.38,0.95,4.03,-26.52,-0.2,-119.23,32.83,20433949671,0.21,1.26,-14261522.22,17543660319,-48,79.5
1/2/2014,76.82,-2.49,-0.26,2.8,-21,-0.26,-167.4,56.68,20399189419,0.2,1.27,-24618109.2,17524937356,-52,79.41
1/3/2014,75.09,-4.03,-2,1.01,-13.88,-0.41,-247.51,93.41,20354981861,0.18,1.31,-53233801.62,17496663004,-56,78.97
1/6/2014,75.51,-3.47,-1.61,1.35,-15.86,-0.46,-260.32,73.01,20342730637,0.16,1.35,-38374497.34,17488645946,-60,78.73
1/7/2014,74.95,-3.86,-2.17,0.73,-13.68,-0.51,-238.19,83.18,20327275353,0.14,1.34,-37111723.44,17478619917,-160,78.29
1/8/2014,75.44,-3.26,-1.7,1.16,-16.1,-0.49,-211.06,74.24,20313593058,0.11,1.31,-41158068.66,17463255578,-160,78.1
1/9/2014,74.45,-4.06,-2.67,0.12,-12.13,-0.52,-219.33,92.37,20297688789,0.09,1.34,-41765298.72,17443302548,-160,77.76
1/10/2014,73.94,-4.34,-3.14,-0.43,-10.21,-0.55,-235.46,95.51,20286169685,0.06,1.34,-15463049.9,17431869668,-176,77.3
1/13/2014,74.34,-3.78,-2.72,-0.07,-12.42,-0.52,-212.51,86.07,20272951491,0.04,1.37,-16613717.14,17407373985,-180,76.98
1/14/2014,75.86,-2.26,-1.24,1.38,-20.01,-0.37,-151.61,60.69,20292356809,0.02,1.39,17717689.24,17405872045,-128,76.91
1/15/2014,77.43,-0.83,0.23,2.84,-26.38,-0.16,-56.09,30.64,20318517341,0.01,1.43,42260985.48,17405935948,-128,77.23
1/16/2014,76.98,-1.37,-0.3,2.3,-24.27,-0.05,-71.15,29.42,20347163947,0,1.38,51015281.4,17417066604,-128,77.42
1/17/2014,75.04,-3.21,-2.24,0.31,-16.14,-0.1,-145.05,65.64,20369391239,0,1.43,16752160.26,17418756868,-128,77.15
1/21/2014,76.24,-2.03,-1.09,1.44,-21.03,-0.06,-128.17,38.89,20389098167,-0.01,1.43,28932086.4,17434867774,-128,77.04
