Date,close,EMA20,EMA50,EMA100,RSI,MACDH,CCI,WMR,OBV,TRIX,ATR,ForceIndex,AccDis,Aaron,timeseries
2/10/2011,46.01,49.23,47.67,45.37,64.36,0.15,132.09,-16.41,21520215703,0.21,0.86,-119980668.7,17904098988,68,50.32
2/11/2011,46.34,49.4,47.8,45.48,66.11,0.15,136.16,-11.9,21612011610,0.22,0.85,30301828.6,17954966014,68,50.73
2/14/2011,46.67,49.58,47.94,45.6,67.84,0.15,140.93,-3.1,21689516984,0.23,0.81,25801539.1,18015670072,68,51.22
2/15/2011,46.78,49.76,48.07,45.71,68.37,0.15,125.65,-0.38,21760379384,0.24,0.78,7291741,18082434011,68,51.59
2/16/2011,47.24,49.96,48.22,45.84,70.73,0.16,133.72,-5.64,21879887971,0.25,0.78,55165163.5,18105811168,84,51.97
2/17/2011,46.55,50.08,48.34,45.94,63.16,0.1,86.31,-21.57,21747479741,0.26,0.79,-91388160,18099115398,84,52.06
2/18/2011,45.44,50.08,48.41,46.03,53.31,-0.01,37.98,-54.42,21543874794,0.26,0.83,-225207432.4,17937941830,84,51.77
2/22/2011,43.74,49.92,48.41,46.07,42.34,-0.21,-78.51,-96.73,21326103107,0.25,0.9,-371866931.9,17770649521,84,51.26
2/23/2011,44.31,49.83,48.43,46.13,46.33,-0.28,-68.52,-81.97,21493933506,0.23,0.9,96166818.6,17826021672,84,50.93
2/24/2011,44.35,49.75,48.45,46.19,46.59,-0.32,-65.48,-81.01,21618822834,0.21,0.91,4645883,17867299090,72,50.65
2/25/2011,45.1,49.75,48.5,46.26,51.67,-0.29,-21.62,-61.59,21713669293,0.19,0.9,71561653.4,17948065778,72,50.51
2/28/2011,45.82,49.82,48.58,46.34,55.99,-0.21,29.81,-43.01,21814244703,0.17,0.9,72575215.4,17954477102,72,50.38
3/1/2011,45.26,49.83,48.63,46.41,52.12,-0.19,0.87,-57.36,21700350609,0.16,0.92,-63473178.5,17886743428,68,50.16
3/2/2011,45.67,49.87,48.7,46.49,54.56,-0.15,4.94,-47.02,21850824066,0.15,0.92,60415093,17924406039,52,50.09
3/3/2011,46.73,50.02,48.8,46.59,60.32,-0.05,79.82,-19.65,21975830357,0.14,0.93,132906688.7,18034538164,52,50.2
3/4/2011,46.79,50.15,48.91,46.68,60.63,0.01,85.15,-18.03,22088981113,0.14,0.89,7117182.5,18121872214,52,50.28
3/7/2011,46.13,50.21,48.98,46.76,55.58,0,38.83,-35.1,21952642064,0.14,0.93,-90406422.9,18092125177,52,50.24
3/8/2011,46.19,50.27,49.05,46.84,55.92,0,22.73,-33.63,22041633345,0.13,0.92,5090301.3,18124432881,48,50.28
3/9/2011,45.72,50.28,49.11,46.91,52.36,-0.04,-11.52,-38.41,21928855766,0.13,0.9,-53016739.8,18113069758,-12,50.27
3/10/2011,44.89,50.21,49.12,46.97,46.71,-0.12,-78.51,-62.63,21802004829,0.12,0.92,-105146742.3,18078417705,-12,50.15
3/11/2011,45.65,50.22,49.17,47.03,51.84,-0.12,-38.7,-40.42,21919612645,0.11,0.93,89417223,18185434072,-12,50.15
3/14/2011,45.87,50.25,49.22,47.1,53.27,-0.1,16.13,-34.81,22028643387,0.11,0.91,24455595.4,18171219082,-12,50.23
3/15/2011,44.71,50.16,49.23,47.15,45.7,-0.16,-96.53,-69.7,21848534990,0.1,0.99,-209249936.2,18239158706,-12,50.14
3/16/2011,42.51,49.88,49.15,47.15,35.42,-0.33,-199.54,-89.41,21560034479,0.07,1.11,-635710875.7,18079899091,-76,49.64
3/17/2011,43.17,49.68,49.09,47.16,39.8,-0.38,-152.66,-76.33,21724725745,0.05,1.13,108976211.1,18061691628,-76,49.4
3/18/2011,42.6,49.45,49.02,47.16,37.46,-0.43,-149.11,-87.55,21536567152,0.02,1.13,-106761185.9,17904266568,-76,49.02
3/21/2011,43.83,49.36,49,47.19,45.04,-0.36,-87.37,-63.17,21639871155,-0.01,1.14,127404826.7,17987300328,-76,48.83
3/22/2011,44.11,49.3,48.99,47.22,46.57,-0.28,-59.93,-57.81,21721358286,-0.03,1.1,22123756,18002293436,-76,48.52
3/23/2011,43.82,49.22,48.97,47.24,45.14,-0.24,-80.42,-63.48,21628160553,-0.05,1.07,-26766388.8,18050549728,-76,48.21
3/24/2011,44.64,49.23,48.98,47.28,49.92,-0.14,-35.98,-47.16,21729327285,-0.06,1.07,83553603.9,18122525549,-76,48.08
